Audience Stage,Awareness Stage,Audience Mindset,What They Think,Main Problem,Emotional State,Language Type,Language to Use,Words to Use,Words to Avoid,Main Message,Message Example 1,Message Example 2,Message Example 3,Best Content Type,Website Copy Focus,Homepage Section Focus,Sales Page Focus,Email Focus,Social Content Focus,Retargeting Focus,Targeting Type,Targeting Direction,Audience Examples,Main Objection,Objection Response,PloverCRM Positioning,Primary Goal,Next Step
Stage 1,Completely Unaware,They do not know they have a lead problem.,My website is live.,They think a website is enough.,Comfortable but unaware.,Website growth language.,Website should bring business.,"Website, leads, growth, visitors, business.","CRM automation, API, attribution.",Your website should become a lead system.,Your website should do more than look professional.,Your WordPress site can become a lead generation system.,Do not let your website work like a static brochure.,Simple education.,Website transformation.,Hero message and problem intro.,Show why website alone is not enough.,Educate them about the problem.,Website growth tips.,Not primary audience.,Cold audience.,WordPress users and website owners.,"Small business owners, WordPress users, service businesses.",I do not need this.,"A website should support sales, not just display information.",Website growth system.,Create awareness.,Educate.
Stage 2,Problem Aware,They know leads are being missed.,Leads are coming but we lose track.,Leads are scattered after capture.,Frustrated and confused.,Pain and loss language.,Stop losing leads.,"Lost leads, follow-up, scattered, missed, tracking.",Too many technical terms.,Getting leads is not enough.,Stop losing leads after they submit the form.,Most leads are lost after capture.,Your leads are not the problem. Your system is.,Pain-based explainers.,Lead loss and missed follow-up.,Problem section.,Show cost of missed leads.,Agitate the pain.,Missed lead examples.,Retarget engaged problem-aware users.,Cold to warm audience.,"People using forms, ads, and lead generation.","Advertisers, form users, agencies, local businesses.",I can manage leads manually.,Manual follow-up causes missed opportunities.,Lead control system.,Make the problem clear.,Agitate.
Stage 3,Solution Aware,They know they need a lead system.,We need a CRM.,Current tools feel messy.,Actively searching.,Solution language.,Manage leads in one place.,"CRM, dashboard, pipeline, reminders, WordPress.",Complex feature lists.,Manage every lead inside WordPress.,Manage leads inside WordPress.,No more scattered tools.,Track every lead stage clearly.,Product comparison.,Simple WordPress CRM.,Solution section.,Show why PloverCRM is the solution.,Introduce PloverCRM.,CRM workflow posts.,Retarget CRM searchers and visitors.,Warm audience.,"CRM, lead management, and WordPress tool users.","CRM seekers, agency owners, sales teams.",Why not use another CRM?,PloverCRM is built for WordPress lead management.,WordPress CRM solution.,Show the solution.,Position.
Stage 4,Product Aware,They know about PloverCRM.,Is PloverCRM right for us?,They need trust and clarity.,Curious but cautious.,Feature and outcome language.,See how PloverCRM works.,"Features, workflow, source tracking, automation, team.",Vague promises.,"PloverCRM connects capture, tracking, and follow-up.",See every lead in one dashboard.,"Track source, campaign, and lead journey.",Assign leads to the right person.,Feature demos.,Feature clarity and proof.,Feature and workflow section.,Show how features solve daily problems.,Build trust with features.,Product feature posts.,Retarget website and video viewers.,Warm retargeting.,Website visitors and engaged users.,"PloverCRM visitors, content viewers, ad clickers.",Will this work for my business?,"PloverCRM is made for capture, tracking, and follow-up.",Complete lead management platform.,Build trust.,Prove.
Stage 5,Most Aware,They are close to buying.,Should we start now?,They need final confidence.,Ready but hesitant.,Direct action language.,Start using PloverCRM.,"Demo, pricing, setup, start, activate.",Long education.,Start managing leads smarter today.,Activate your WordPress lead system.,Book a demo and see how it works.,Start tracking every opportunity.,Pricing and demo content.,CTA and conversion.,"Pricing, demo, and final CTA.","Show offer, setup, and next step.",Ask for action.,Demo and offer posts.,Retarget pricing and demo visitors.,Hot retargeting.,"Pricing visitors, demo visitors, trial users.","Demo page visitors, checkout abandoners, email subscribers.",Is now the right time?,Start with a simple demo or setup.,Ready-to-use lead system.,Drive action.,Convert.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage 2 Wordpress language,Problem aware wordpress Based,They know WordPress leads are being missed.,"Leads come from my site, but we lose track.",WordPress leads are scattered after form submission.,Frustrated and confused.,WordPress lead loss language.,Stop losing WordPress leads after capture.,"WordPress leads, forms, submissions, inquiries, follow-up, missed leads, tracking.","Generic CRM terms, heavy automation, API language.","Your WordPress forms capture leads, but PloverCRM helps you manage and convert them.",Stop losing WordPress leads after they submit the form.,Your WordPress website gets inquiries. Now track what happens next.,Forms are not enough. Every WordPress lead needs follow-up.,Pain-based explainers.,WordPress lead loss and missed follow-up.,Problem section focused on WordPress forms and inquiries.,Show the cost of missed WordPress leads.,Agitate WordPress lead loss pain.,Missed WordPress lead examples.,Retarget engaged problem-aware users.,Cold to warm audience.,"WordPress users, form plugin users, website owners, advertisers, agencies.","WordPress business owners, WPForms users, Elementor users, Contact Form 7 users, service businesses.",I already have forms on my website.,"Forms collect leads, but they do not manage follow-up.",WordPress lead control system.,Make the problem clear.,Agitate.
